algorithm,vertex count,edge count,density,cover size,duration (s)
exact exhaustive,2,0,0.0000,0,0.0003815
approximation two factor,2,0,0.0000,0,0.0008857
approximation one by one,2,0,0.0000,0,0.0000125
exact exhaustive,2,0,0.0000,0,0.0000012
approximation two factor,2,0,0.0000,0,0.0000071
approximation one by one,2,0,0.0000,0,0.0000054
exact exhaustive,2,0,0.0000,0,0.0000011
approximation two factor,2,0,0.0000,0,0.0000051
approximation one by one,2,0,0.0000,0,0.0000054
exact exhaustive,2,1,1.0000,1,0.0000324
approximation two factor,2,1,1.0000,2,0.0000612
approximation one by one,2,1,1.0000,1,0.0000356
exact exhaustive,2,0,0.0000,0,0.000001
approximation two factor,2,0,0.0000,0,0.0000051
approximation one by one,2,0,0.0000,0,0.0000053
exact exhaustive,2,1,1.0000,1,0.0000125
approximation two factor,2,1,1.0000,2,0.0000262
approximation one by one,2,1,1.0000,1,0.0000228
exact exhaustive,2,0,0.0000,0,0.0000011
approximation two factor,2,0,0.0000,0,0.0000052
approximation one by one,2,0,0.0000,0,0.0000051
exact exhaustive,2,1,1.0000,1,0.0000145
approximation two factor,2,1,1.0000,2,0.0000261
approximation one by one,2,1,1.0000,1,0.0000342
exact exhaustive,2,1,1.0000,1,0.0000145
approximation two factor,2,1,1.0000,2,0.0000309
approximation one by one,2,1,1.0000,1,0.000024
exact exhaustive,2,1,1.0000,1,0.0000134
approximation two factor,2,1,1.0000,2,0.0000477
approximation one by one,2,1,1.0000,1,0.0000227
exact exhaustive,2,1,1.0000,1,0.0000139
approximation two factor,2,1,1.0000,2,0.0000248
approximation one by one,2,1,1.0000,1,0.0000239
exact exhaustive,2,1,1.0000,1,0.0000142
approximation two factor,2,1,1.0000,2,0.0000413
approximation one by one,2,1,1.0000,1,0.0000251
exact exhaustive,3,1,0.3333,1,0.0000192
approximation two factor,3,1,0.3333,2,0.0000269
approximation one by one,3,1,0.3333,1,0.0000264
exact exhaustive,3,1,0.3333,1,0.000025
approximation two factor,3,1,0.3333,2,0.0000339
approximation one by one,3,1,0.3333,1,0.0000225
exact exhaustive,3,0,0.0000,0,0.0000014
approximation two factor,3,0,0.0000,0,0.0000089
approximation one by one,3,0,0.0000,0,0.0000075
exact exhaustive,3,0,0.0000,0,0.0000011
approximation two factor,3,0,0.0000,0,0.0000049
approximation one by one,3,0,0.0000,0,0.0000049
exact exhaustive,3,2,0.6667,1,0.0000207
approximation two factor,3,2,0.6667,2,0.000033
approximation one by one,3,2,0.6667,1,0.0000338
exact exhaustive,3,2,0.6667,1,0.0000198
approximation two factor,3,2,0.6667,2,0.0000386
approximation one by one,3,2,0.6667,1,0.0000283
exact exhaustive,3,1,0.3333,1,0.0000178
approximation two factor,3,1,0.3333,2,0.000022
approximation one by one,3,1,0.3333,1,0.0000187
exact exhaustive,3,2,0.6667,1,0.0000176
approximation two factor,3,2,0.6667,2,0.0000328
approximation one by one,3,2,0.6667,1,0.0000294
exact exhaustive,3,2,0.6667,1,0.0000139
approximation two factor,3,2,0.6667,2,0.0000234
approximation one by one,3,2,0.6667,1,0.0000209
exact exhaustive,3,3,1.0000,2,0.0000242
approximation two factor,3,3,1.0000,2,0.0000279
approximation one by one,3,3,1.0000,2,0.0000397
exact exhaustive,3,3,1.0000,2,0.0000228
approximation two factor,3,3,1.0000,2,0.0000255
approximation one by one,3,3,1.0000,2,0.0000259
exact exhaustive,3,3,1.0000,2,0.0000196
approximation two factor,3,3,1.0000,2,0.0000224
approximation one by one,3,3,1.0000,2,0.0000284
exact exhaustive,4,3,0.5000,2,0.0000339
approximation two factor,4,3,0.5000,4,0.0000411
approximation one by one,4,3,0.5000,2,0.0000392
exact exhaustive,4,1,0.1667,1,0.000035
approximation two factor,4,1,0.1667,2,0.0000743
approximation one by one,4,1,0.1667,1,0.0000525
exact exhaustive,4,1,0.1667,1,0.0000166
approximation two factor,4,1,0.1667,2,0.0000268
approximation one by one,4,1,0.1667,1,0.0000153
exact exhaustive,4,4,0.6667,2,0.0000299
approximation two factor,4,4,0.6667,4,0.0000323
approximation one by one,4,4,0.6667,2,0.0000256
exact exhaustive,4,6,1.0000,3,0.0000448
approximation two factor,4,6,1.0000,4,0.0000302
approximation one by one,4,6,1.0000,3,0.000113
exact exhaustive,4,5,0.8333,2,0.0000489
approximation two factor,4,5,0.8333,4,0.0000619
approximation one by one,4,5,0.8333,3,0.000033
exact exhaustive,4,5,0.8333,2,0.0000343
approximation two factor,4,5,0.8333,4,0.00003
approximation one by one,4,5,0.8333,3,0.0000323
exact exhaustive,4,6,1.0000,3,0.0000362
approximation two factor,4,6,1.0000,4,0.0000349
approximation one by one,4,6,1.0000,3,0.0000277
exact exhaustive,4,6,1.0000,3,0.000026
approximation two factor,4,6,1.0000,4,0.0000302
approximation one by one,4,6,1.0000,3,0.0000449
exact exhaustive,4,6,1.0000,3,0.0000406
approximation two factor,4,6,1.0000,4,0.0000536
approximation one by one,4,6,1.0000,3,0.0000365
exact exhaustive,4,6,1.0000,3,0.0000563
approximation two factor,4,6,1.0000,4,0.0001078
approximation one by one,4,6,1.0000,3,0.0000296
exact exhaustive,4,6,1.0000,3,0.0000229
approximation two factor,4,6,1.0000,4,0.0000325
approximation one by one,4,6,1.0000,3,0.0000299
exact exhaustive,5,1,0.1000,1,0.0000191
approximation two factor,5,1,0.1000,2,0.0000206
approximation one by one,5,1,0.1000,1,0.000015
exact exhaustive,5,3,0.3000,2,0.0000199
approximation two factor,5,3,0.3000,4,0.0000353
approximation one by one,5,3,0.3000,2,0.0000238
exact exhaustive,5,2,0.2000,1,0.0000246
approximation two factor,5,2,0.2000,2,0.0000197
approximation one by one,5,2,0.2000,2,0.0000192
exact exhaustive,5,6,0.6000,3,0.0000313
approximation two factor,5,6,0.6000,4,0.0000359
approximation one by one,5,6,0.6000,3,0.0000307
exact exhaustive,5,4,0.4000,2,0.000035
approximation two factor,5,4,0.4000,4,0.0000279
approximation one by one,5,4,0.4000,3,0.0000324
exact exhaustive,5,8,0.8000,3,0.0000748
approximation two factor,5,8,0.8000,4,0.0000593
approximation one by one,5,8,0.8000,4,0.0000423
exact exhaustive,5,8,0.8000,3,0.0000376
approximation two factor,5,8,0.8000,4,0.0000521
approximation one by one,5,8,0.8000,4,0.0000489
exact exhaustive,5,10,1.0000,4,0.0000508
approximation two factor,5,10,1.0000,4,0.0000396
approximation one by one,5,10,1.0000,4,0.0000395
exact exhaustive,5,10,1.0000,4,0.0000519
approximation two factor,5,10,1.0000,4,0.0000545
approximation one by one,5,10,1.0000,4,0.0000545
exact exhaustive,5,10,1.0000,4,0.0000537
approximation two factor,5,10,1.0000,4,0.0000297
approximation one by one,5,10,1.0000,4,0.0000334
exact exhaustive,5,10,1.0000,4,0.0000356
approximation two factor,5,10,1.0000,4,0.0000288
approximation one by one,5,10,1.0000,4,0.0000326
exact exhaustive,5,10,1.0000,4,0.0000359
approximation two factor,5,10,1.0000,4,0.000035
approximation one by one,5,10,1.0000,4,0.0000311
exact exhaustive,6,1,0.0667,1,0.000025
approximation two factor,6,1,0.0667,2,0.0000182
approximation one by one,6,1,0.0667,1,0.0000132
exact exhaustive,6,2,0.1333,1,0.0000518
approximation two factor,6,2,0.1333,2,0.0000616
approximation one by one,6,2,0.1333,1,0.0000245
exact exhaustive,6,4,0.2667,2,0.0000759
approximation two factor,6,4,0.2667,4,0.0000439
approximation one by one,6,4,0.2667,2,0.0000523
exact exhaustive,6,6,0.4000,3,0.0000593
approximation two factor,6,6,0.4000,4,0.0000479
approximation one by one,6,6,0.4000,4,0.0000287
exact exhaustive,6,9,0.6000,4,0.0000551
approximation two factor,6,9,0.6000,6,0.0000402
approximation one by one,6,9,0.6000,5,0.0000364
exact exhaustive,6,11,0.7333,4,0.0000523
approximation two factor,6,11,0.7333,6,0.0000329
approximation one by one,6,11,0.7333,4,0.0000442
exact exhaustive,6,12,0.8000,4,0.0000625
approximation two factor,6,12,0.8000,6,0.0000373
approximation one by one,6,12,0.8000,5,0.0000311
exact exhaustive,6,14,0.9333,4,0.0000749
approximation two factor,6,14,0.9333,6,0.0000406
approximation one by one,6,14,0.9333,5,0.0000567
exact exhaustive,6,15,1.0000,5,0.000088
approximation two factor,6,15,1.0000,6,0.0000324
approximation one by one,6,15,1.0000,5,0.0000369
exact exhaustive,6,15,1.0000,5,0.0000838
approximation two factor,6,15,1.0000,6,0.0000567
approximation one by one,6,15,1.0000,5,0.0000451
exact exhaustive,6,15,1.0000,5,0.0000932
approximation two factor,6,15,1.0000,6,0.0001057
approximation one by one,6,15,1.0000,5,0.0000755
exact exhaustive,6,15,1.0000,5,0.000081
approximation two factor,6,15,1.0000,6,0.0000468
approximation one by one,6,15,1.0000,5,0.0000681
exact exhaustive,7,2,0.0952,2,0.0000789
approximation two factor,7,2,0.0952,4,0.0000271
approximation one by one,7,2,0.0952,2,0.0000203
exact exhaustive,7,2,0.0952,2,0.0000789
approximation two factor,7,2,0.0952,4,0.0000226
approximation one by one,7,2,0.0952,2,0.0000177
exact exhaustive,7,6,0.2857,3,0.000068
approximation two factor,7,6,0.2857,6,0.000028
approximation one by one,7,6,0.2857,4,0.0000255
exact exhaustive,7,11,0.5238,4,0.000093
approximation two factor,7,11,0.5238,6,0.0000307
approximation one by one,7,11,0.5238,5,0.0000288
exact exhaustive,7,15,0.7143,5,0.0001215
approximation two factor,7,15,0.7143,6,0.0000329
approximation one by one,7,15,0.7143,5,0.0000427
exact exhaustive,7,17,0.8095,5,0.0001291
approximation two factor,7,17,0.8095,6,0.0000629
approximation one by one,7,17,0.8095,6,0.0000524
exact exhaustive,7,18,0.8571,5,0.0001449
approximation two factor,7,18,0.8571,6,0.0000476
approximation one by one,7,18,0.8571,6,0.0000383
exact exhaustive,7,20,0.9524,5,0.0001394
approximation two factor,7,20,0.9524,6,0.0000403
approximation one by one,7,20,0.9524,6,0.0000556
exact exhaustive,7,20,0.9524,5,0.0001254
approximation two factor,7,20,0.9524,6,0.0000635
approximation one by one,7,20,0.9524,6,0.0000561
exact exhaustive,7,21,1.0000,6,0.0001449
approximation two factor,7,21,1.0000,6,0.0000374
approximation one by one,7,21,1.0000,6,0.0000399
exact exhaustive,7,21,1.0000,6,0.0001453
approximation two factor,7,21,1.0000,6,0.0000333
approximation one by one,7,21,1.0000,6,0.0000369
exact exhaustive,7,21,1.0000,6,0.0001388
approximation two factor,7,21,1.0000,6,0.0000626
approximation one by one,7,21,1.0000,6,0.0000483
exact exhaustive,8,2,0.0714,2,0.0001079
approximation two factor,8,2,0.0714,4,0.0000447
approximation one by one,8,2,0.0714,2,0.0001042
exact exhaustive,8,8,0.2857,4,0.0001529
approximation two factor,8,8,0.2857,6,0.0000336
approximation one by one,8,8,0.2857,4,0.0000285
exact exhaustive,8,6,0.2143,3,0.0001293
approximation two factor,8,6,0.2143,6,0.0000273
approximation one by one,8,6,0.2143,3,0.0000207
exact exhaustive,8,15,0.5357,5,0.0002102
approximation two factor,8,15,0.5357,8,0.0000342
approximation one by one,8,15,0.5357,6,0.0000351
exact exhaustive,8,16,0.5714,5,0.0001887
approximation two factor,8,16,0.5714,6,0.0000286
approximation one by one,8,16,0.5714,5,0.0000341
exact exhaustive,8,18,0.6429,5,0.0001597
approximation two factor,8,18,0.6429,8,0.0000439
approximation one by one,8,18,0.6429,5,0.0000379
exact exhaustive,8,24,0.8571,6,0.0002145
approximation two factor,8,24,0.8571,8,0.000049
approximation one by one,8,24,0.8571,7,0.0000706
exact exhaustive,8,25,0.8929,6,0.0002356
approximation two factor,8,25,0.8929,8,0.0001147
approximation one by one,8,25,0.8929,7,0.0001312
exact exhaustive,8,27,0.9643,6,0.0002425
approximation two factor,8,27,0.9643,8,0.0000466
approximation one by one,8,27,0.9643,7,0.0000411
exact exhaustive,8,28,1.0000,7,0.0002842
approximation two factor,8,28,1.0000,8,0.0000356
approximation one by one,8,28,1.0000,7,0.0000357
exact exhaustive,8,28,1.0000,7,0.0002662
approximation two factor,8,28,1.0000,8,0.0000345
approximation one by one,8,28,1.0000,7,0.0000393
exact exhaustive,8,28,1.0000,7,0.0002534
approximation two factor,8,28,1.0000,8,0.0000356
approximation one by one,8,28,1.0000,7,0.0000388
exact exhaustive,9,2,0.0556,2,0.0002081
approximation two factor,9,2,0.0556,4,0.0000153
approximation one by one,9,2,0.0556,2,0.0000374
exact exhaustive,9,10,0.2778,4,0.0002779
approximation two factor,9,10,0.2778,4,0.0000308
approximation one by one,9,10,0.2778,5,0.0001066
exact exhaustive,9,10,0.2778,4,0.0002581
approximation two factor,9,10,0.2778,6,0.0000292
approximation one by one,9,10,0.2778,5,0.0000248
exact exhaustive,9,22,0.6111,6,0.0003081
approximation two factor,9,22,0.6111,8,0.0000382
approximation one by one,9,22,0.6111,6,0.0000316
